color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,actor_1_name,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,num_user_for_reviews,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes,genre,Title
16,1,52,258.0,150.0,80.0,201.0,1671,22000.0,141614023.0,1077,149922,22697,522,4.0,438.0,43,6,225000000.0,2008.0,216.0,6.6,2.35,0,0,The Chronicles of Narnia: Prince Caspian 
17,1,839,703.0,173.0,0.0,19000.0,1758,26000.0,623279547.0,244,995415,87697,2211,3.0,1722.0,43,7,220000000.0,2012.0,21000.0,8.1,1.85,123000,0,The Avengers 
18,1,1321,448.0,136.0,252.0,1000.0,1831,40000.0,241063875.0,687,370704,54083,2302,4.0,484.0,43,7,250000000.0,2011.0,11000.0,6.7,2.35,58000,0,Pirates of the Caribbean: On Stranger Tides 
19,1,110,451.0,106.0,188.0,718.0,1470,10000.0,179020854.0,1399,268154,12572,1830,1.0,341.0,43,7,225000000.0,2012.0,816.0,6.8,1.85,40000,3,Men in Black 3 
20,1,1229,422.0,164.0,0.0,773.0,14,5000.0,255108370.0,16,354228,9152,1051,0.0,802.0,30,7,250000000.0,2014.0,972.0,7.5,2.35,65000,1,The Hobbit: The Battle of the Five Armies 
21,1,972,599.0,153.0,464.0,963.0,114,15000.0,262030663.0,423,451803,28489,437,0.0,1225.0,43,7,230000000.0,2012.0,10000.0,7.0,2.35,56000,0,The Amazing Spider-Man 
22,1,1313,343.0,156.0,0.0,738.0,2148,891.0,105219735.0,887,211765,3244,2215,0.0,546.0,43,7,200000000.0,2010.0,882.0,6.7,2.35,17000,6,Robin Hood 
23,1,1229,509.0,186.0,0.0,773.0,14,5000.0,258355354.0,16,483540,9152,1051,6.0,951.0,43,7,225000000.0,2013.0,972.0,7.9,2.35,83000,1,The Hobbit: The Desolation of Smaug 
24,1,235,251.0,113.0,129.0,1000.0,675,16000.0,70083519.0,260,149019,24106,1422,2.0,666.0,43,7,180000000.0,2007.0,6000.0,6.1,2.35,0,1,The Golden Compass 
25,1,1229,446.0,201.0,0.0,84.0,2009,6000.0,218051260.0,1002,316018,7123,778,0.0,2618.0,30,7,207000000.0,2005.0,919.0,7.2,2.35,0,6,King Kong 
26,1,620,315.0,194.0,0.0,794.0,1105,29000.0,658672302.0,823,793059,45223,883,0.0,2528.0,43,7,200000000.0,1997.0,14000.0,7.7,2.35,26000,6,Titanic 
27,1,86,516.0,147.0,94.0,11000.0,1853,21000.0,407197282.0,1141,272670,64798,427,0.0,1022.0,43,7,250000000.0,2016.0,19000.0,8.2,2.35,72000,0,Captain America: Civil War 
28,1,1216,377.0,131.0,532.0,627.0,70,14000.0,65173160.0,832,202382,26679,2349,0.0,751.0,43,7,209000000.0,2012.0,10000.0,5.9,2.35,44000,14,Battleship 
29,1,267,644.0,124.0,365.0,1000.0,1067,3000.0,652177271.0,183,418214,8458,1870,0.0,1290.0,43,7,150000000.0,2015.0,2000.0,7.0,2.0,150000,14,Jurassic World 
30,1,1395,750.0,143.0,0.0,393.0,806,883.0,304360277.0,25,522030,2039,2135,0.0,1498.0,42,7,200000000.0,2012.0,563.0,7.8,2.35,80000,14,Skyfall 
31,1,1398,300.0,135.0,0.0,4000.0,880,24000.0,373377893.0,555,411164,43388,1414,1.0,1303.0,43,7,200000000.0,2004.0,11000.0,7.3,2.35,0,0,Spider-Man 2 
32,1,1424,608.0,195.0,1000.0,3000.0,1030,21000.0,408992272.0,1141,557489,30426,654,3.0,1187.0,43,7,200000000.0,2013.0,4000.0,7.2,2.35,95000,0,Iron Man 3 
33,1,1536,451.0,108.0,13000.0,11000.0,46,40000.0,334185206.0,687,306320,79957,155,0.0,736.0,43,6,200000000.0,2010.0,25000.0,6.5,1.85,24000,1,Alice in Wonderland 
34,1,162,334.0,104.0,420.0,560.0,1135,20000.0,234360014.0,530,383427,21714,534,0.0,1912.0,6,7,210000000.0,2006.0,808.0,6.8,2.35,0,14,X-Men: The Last Stand 
35,1,297,376.0,104.0,37.0,760.0,2080,12000.0,268488329.0,1273,235025,14863,2226,0.0,265.0,43,1,200000000.0,2013.0,779.0,7.3,1.85,44000,3,Monsters University 
36,1,1038,366.0,150.0,0.0,464.0,1156,894.0,402076689.0,492,323207,3218,1996,0.0,1439.0,43,7,200000000.0,2009.0,581.0,6.0,2.35,0,0,Transformers: Revenge of the Fallen 
37,1,1038,378.0,165.0,0.0,808.0,1919,974.0,245428137.0,142,242420,3988,1368,2.0,918.0,43,7,210000000.0,2014.0,956.0,5.7,2.35,56000,0,Transformers: Age of Extinction 
38,1,1398,525.0,130.0,0.0,11000.0,1487,44000.0,234903076.0,1323,175409,73441,1042,4.0,511.0,43,6,215000000.0,2013.0,15000.0,6.4,2.35,60000,1,Oz the Great and Powerful 
39,1,972,495.0,142.0,464.0,825.0,114,15000.0,202853933.0,423,321227,28631,205,0.0,1067.0,43,7,200000000.0,2014.0,10000.0,6.7,2.35,41000,0,The Amazing Spider-Man 2 
40,1,825,469.0,125.0,364.0,1000.0,1580,12000.0,172051787.0,605,264183,25550,1041,0.0,665.0,43,6,170000000.0,2010.0,10000.0,6.8,2.35,30000,0,TRON: Legacy 
41,1,760,304.0,106.0,487.0,776.0,2009,1000.0,191450875.0,656,101178,4482,692,0.0,283.0,43,1,200000000.0,2011.0,919.0,6.3,2.35,10000,3,Cars 2 
42,1,1004,436.0,123.0,258.0,326.0,1991,16000.0,116593191.0,1181,223393,17657,2350,2.0,550.0,43,7,200000000.0,2011.0,368.0,5.6,2.35,24000,0,Green Lantern 
43,1,924,453.0,103.0,125.0,721.0,1023,15000.0,414984497.0,1339,544884,19085,658,3.0,733.0,43,1,200000000.0,2010.0,1000.0,8.3,1.85,30000,3,Toy Story 3 
44,1,1027,422.0,118.0,368.0,988.0,290,23000.0,125320003.0,251,286095,27468,484,0.0,974.0,43,7,200000000.0,2009.0,3000.0,6.6,2.35,0,0,Terminator Salvation 
45,1,638,424.0,140.0,0.0,14000.0,1632,26000.0,350034110.0,596,278232,79150,2503,0.0,657.0,43,7,190000000.0,2015.0,23000.0,7.2,2.35,94000,14,Furious 7 
46,1,968,654.0,123.0,395.0,1000.0,244,17000.0,202351611.0,1075,465019,32392,1758,0.0,995.0,43,7,190000000.0,2013.0,11000.0,7.0,2.35,129000,14,World War Z 
47,1,185,539.0,149.0,0.0,20000.0,1650,34000.0,233914986.0,619,514125,91434,962,7.0,752.0,43,7,200000000.0,2014.0,22000.0,8.0,2.35,82000,14,X-Men: Days of Future Past 
48,1,607,590.0,132.0,14000.0,928.0,284,19000.0,228756232.0,124,395573,21411,1844,0.0,1171.0,43,7,190000000.0,2013.0,981.0,7.8,2.35,92000,0,Star Trek Into Darkness 
49,1,185,338.0,114.0,0.0,140.0,683,979.0,65171860.0,400,106416,1766,1994,1.0,205.0,43,7,195000000.0,2013.0,557.0,6.3,2.35,22000,1,Jack the Giant Slayer 
50,1,113,490.0,143.0,1000.0,77.0,630,29000.0,144812796.0,823,362912,29770,2310,4.0,753.0,3,7,105000000.0,2013.0,509.0,7.3,2.35,115000,6,The Great Gatsby 
51,1,1104,306.0,116.0,179.0,236.0,1727,15000.0,90755643.0,566,222403,16149,2020,2.0,453.0,43,7,200000000.0,2010.0,567.0,6.6,2.35,23000,0,Prince of Persia: The Sands of Time 
52,1,553,575.0,131.0,0.0,919.0,410,16000.0,101785482.0,223,381148,19166,1441,0.0,1106.0,43,7,190000000.0,2013.0,968.0,7.0,1.85,83000,0,Pacific Rim 
53,1,1038,428.0,154.0,0.0,581.0,1251,894.0,352358779.0,492,326180,2593,1387,2.0,899.0,43,7,195000000.0,2011.0,829.0,6.3,2.35,46000,0,Transformers: Dark of the Moon 
54,1,1492,470.0,122.0,14000.0,1000.0,1707,11000.0,317011114.0,510,333847,14959,1175,2.0,2054.0,43,7,185000000.0,2008.0,1000.0,6.2,2.35,5000,0,Indiana Jones and the Kingdom of the Crystal Skull 
56,1,981,488.0,93.0,56.0,838.0,1023,2000.0,237282182.0,757,273556,5005,1307,0.0,428.0,43,6,185000000.0,2012.0,1000.0,7.2,2.35,39000,3,Brave 
57,1,852,322.0,122.0,681.0,105.0,1429,998.0,130468626.0,1255,53607,1327,1537,4.0,432.0,43,7,185000000.0,2016.0,119.0,7.5,2.35,30000,14,Star Trek Beyond 
58,1,62,421.0,98.0,475.0,522.0,719,1000.0,223806889.0,681,718837,2975,1123,0.0,1043.0,43,1,180000000.0,2008.0,729.0,8.4,2.35,16000,1,WALL·E 
59,1,162,162.0,91.0,420.0,173.0,461,268.0,140080850.0,1363,121084,1125,1850,2.0,221.0,43,7,140000000.0,2007.0,268.0,6.2,2.35,0,3,Rush Hour 3 
60,1,1363,367.0,158.0,776.0,310.0,1255,1000.0,166112167.0,1039,283418,2144,2430,0.0,1055.0,43,7,200000000.0,2009.0,468.0,5.8,2.35,13000,0,2012 
61,1,1350,240.0,96.0,0.0,10000.0,417,18000.0,137850096.0,1152,72809,48878,838,0.0,249.0,43,6,200000000.0,2009.0,14000.0,6.8,2.35,0,6,A Christmas Carol 
62,1,910,384.0,127.0,0.0,13000.0,1487,17000.0,47375327.0,219,139593,47334,696,1.0,720.0,43,7,176000000.0,2015.0,15000.0,5.4,2.35,44000,0,Jupiter Ascending 
63,1,364,248.0,110.0,282.0,103.0,70,11000.0,124051759.0,258,42372,21175,370,2.0,239.0,43,7,180000000.0,2016.0,10000.0,6.6,2.35,29000,6,The Legend of Tarzan 
64,1,52,284.0,150.0,80.0,82.0,1182,1000.0,291709845.0,641,286506,1317,2243,5.0,1463.0,43,6,180000000.0,2005.0,190.0,6.9,2.35,0,1,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe "
65,1,185,396.0,144.0,0.0,1000.0,1445,34000.0,154985087.0,619,148379,49684,2465,6.0,622.0,43,7,178000000.0,2016.0,13000.0,7.3,2.35,54000,0,X-Men: Apocalypse 
66,1,251,645.0,152.0,22000.0,11000.0,800,23000.0,533316061.0,251,1676169,57802,1778,0.0,4667.0,43,7,185000000.0,2008.0,13000.0,9.0,2.35,37000,6,The Dark Knight 
67,1,1212,408.0,96.0,0.0,262.0,535,1000.0,292979556.0,681,665575,2635,1153,1.0,704.0,43,6,175000000.0,2009.0,848.0,8.3,1.85,27000,3,Up 
68,1,1320,219.0,94.0,11.0,459.0,1690,1000.0,198332128.0,65,114553,2579,2299,2.0,187.0,43,6,175000000.0,2009.0,973.0,6.5,2.35,0,3,Monsters vs. Aliens 
69,1,790,486.0,126.0,4000.0,4000.0,926,21000.0,318298180.0,1141,696338,39252,1239,3.0,1055.0,43,7,140000000.0,2008.0,12000.0,7.9,2.35,10000,0,Iron Man 
70,1,1008,682.0,126.0,17000.0,1000.0,392,17000.0,73820094.0,238,245333,36017,2013,0.0,678.0,43,6,170000000.0,2011.0,16000.0,7.5,1.85,42000,6,Hugo 
71,1,110,85.0,106.0,188.0,582.0,1829,10000.0,113745408.0,1399,129601,15870,206,2.0,648.0,43,7,170000000.0,1999.0,4000.0,4.8,1.85,0,3,Wild Wild West 
72,1,1318,264.0,112.0,357.0,595.0,256,5000.0,102176165.0,638,117927,9131,2159,2.0,501.0,43,7,145000000.0,2008.0,3000.0,5.2,2.35,0,14,The Mummy: Tomb of the Dragon Emperor 
73,1,324,418.0,123.0,452.0,329.0,1771,10000.0,161087183.0,1399,118992,11287,976,8.0,971.0,43,7,175000000.0,2016.0,336.0,6.9,2.35,80000,3,Suicide Squad 
74,1,1572,186.0,96.0,293.0,7000.0,1511,87000.0,100289690.0,647,115099,108016,2314,0.0,257.0,43,6,175000000.0,2007.0,11000.0,5.4,2.35,2000,3,Evan Almighty 
75,1,402,585.0,113.0,218.0,509.0,1209,10000.0,100189501.0,1337,431620,12652,1842,1.0,741.0,43,7,178000000.0,2014.0,854.0,7.9,2.35,77000,0,Edge of Tomorrow 
76,1,891,91.0,176.0,58.0,60.0,1737,711.0,88246220.0,603,144337,1004,2574,0.0,309.0,43,7,175000000.0,1995.0,60.0,6.1,1.85,0,14,Waterworld 
77,1,1464,250.0,118.0,208.0,570.0,542,23000.0,150167630.0,703,174578,26683,1469,4.0,534.0,43,7,175000000.0,2009.0,2000.0,5.8,2.35,0,14,G.I. Joe: The Rise of Cobra 
78,1,1212,536.0,95.0,0.0,384.0,1491,1000.0,356454367.0,65,345198,2944,1963,1.0,773.0,43,6,175000000.0,2015.0,767.0,8.3,1.85,118000,6,Inside Out 
79,1,790,370.0,106.0,4000.0,591.0,217,19000.0,362645141.0,1208,106072,32921,831,0.0,398.0,42,6,175000000.0,2016.0,13000.0,7.8,1.85,65000,6,The Jungle Book 
80,1,790,453.0,124.0,4000.0,4000.0,1853,21000.0,312057433.0,1141,522371,48638,1239,4.0,723.0,43,7,200000000.0,2010.0,19000.0,7.0,2.35,18000,0,Iron Man 2 
81,1,1378,416.0,132.0,274.0,11000.0,1192,26000.0,155111815.0,244,228554,72881,2177,0.0,710.0,43,7,170000000.0,2012.0,17000.0,6.1,2.35,53000,6,Snow White and the Huntsman 
82,1,1346,401.0,97.0,171.0,846.0,1884,11000.0,241407328.0,76,252257,15516,2182,2.0,634.0,43,6,180000000.0,2014.0,2000.0,7.0,2.35,89000,0,Maleficent 
83,1,1019,521.0,130.0,198.0,884.0,1067,10000.0,208543795.0,476,317542,14363,1416,0.0,620.0,43,7,170000000.0,2014.0,2000.0,7.6,1.85,45000,6,Dawn of the Planet of the Apes 
85,1,194,218.0,128.0,47.0,982.0,323,18000.0,38297305.0,751,116994,20965,1186,2.0,324.0,43,7,175000000.0,2013.0,1000.0,6.3,2.35,35000,6,47 Ronin 
86,1,86,576.0,136.0,94.0,2000.0,368,19000.0,259746958.0,1208,496749,36188,929,1.0,742.0,43,7,170000000.0,2014.0,11000.0,7.8,2.35,55000,0,Captain America: The Winter Soldier 
87,1,1102,226.0,93.0,31.0,213.0,1118,4000.0,238371987.0,691,138661,4628,1609,2.0,173.0,43,6,165000000.0,2010.0,225.0,6.4,2.35,0,3,Shrek Forever After 
88,1,151,443.0,130.0,663.0,604.0,364,2000.0,93417865.0,714,128306,5046,2389,2.0,497.0,43,6,190000000.0,2015.0,638.0,6.5,2.2,37000,0,Tomorrowland 
89,1,395,384.0,102.0,38.0,562.0,468,756.0,222487711.0,300,279093,2963,8,0.0,433.0,43,6,165000000.0,2014.0,719.0,7.9,2.39,41000,6,Big Hero 6 
90,1,1286,377.0,101.0,66.0,833.0,1845,975.0,189412677.0,557,272534,4451,1198,1.0,345.0,43,6,165000000.0,2012.0,931.0,7.8,2.35,40000,3,Wreck-It Ralph 
91,1,1350,188.0,100.0,0.0,267.0,606,15000.0,665426.0,1339,120798,16264,1948,0.0,444.0,43,1,165000000.0,2004.0,726.0,6.6,2.35,10000,1,The Polar Express 
92,1,1363,286.0,120.0,776.0,535.0,1874,890.0,102315545.0,1384,58137,3233,1284,0.0,520.0,43,7,165000000.0,2016.0,812.0,5.5,2.35,67000,0,Independence Day: Resurgence 
93,1,367,288.0,98.0,255.0,759.0,99,18000.0,217387997.0,485,485430,20453,499,0.0,492.0,43,6,165000000.0,2010.0,953.0,8.2,2.35,33000,1,How to Train Your Dragon 
94,1,814,280.0,109.0,84.0,191.0,1318,648.0,150350192.0,1019,305340,1769,365,0.0,1676.0,43,9,200000000.0,2003.0,284.0,6.4,2.35,0,0,Terminator 3: Rise of the Machines 
95,1,627,653.0,121.0,571.0,3000.0,2110,14000.0,333130696.0,161,682155,32438,647,3.0,1097.0,43,7,170000000.0,2014.0,14000.0,8.1,2.35,96000,0,Guardians of the Galaxy 
96,1,251,712.0,169.0,22000.0,6000.0,136,11000.0,187991439.0,918,928227,31488,1547,1.0,2725.0,43,7,165000000.0,2014.0,11000.0,8.6,2.35,349000,6,Interstellar 
97,1,251,642.0,148.0,22000.0,23000.0,2049,29000.0,292568851.0,823,1468200,81115,1267,0.0,2803.0,43,7,160000000.0,2010.0,27000.0,8.8,2.35,175000,14,Inception 
100,1,1318,187.0,106.0,357.0,4000.0,2110,23000.0,144512310.0,1070,272223,45327,1262,2.0,988.0,43,7,38000000.0,2001.0,14000.0,6.7,2.35,14000,14,The Fast and the Furious 
101,1,333,362.0,166.0,21000.0,919.0,903,11000.0,127490802.0,159,459346,13333,1296,2.0,822.0,43,7,150000000.0,2008.0,1000.0,7.8,2.35,23000,6,The Curious Case of Benjamin Button 
102,1,1023,500.0,132.0,905.0,1000.0,1445,34000.0,146405371.0,619,518537,50983,1859,3.0,698.0,43,7,160000000.0,2011.0,13000.0,7.8,2.35,54000,0,X-Men: First Class 
103,1,463,389.0,137.0,508.0,14000.0,1664,34000.0,281666058.0,619,166137,81385,1271,1.0,383.0,43,7,160000000.0,2015.0,22000.0,6.6,2.35,38000,1,The Hunger Games: Mockingjay - Part 2 
104,1,800,235.0,109.0,226.0,370.0,1585,12000.0,63143812.0,1021,124185,13388,2084,0.0,238.0,43,6,150000000.0,2010.0,418.0,6.1,2.35,11000,0,The Sorcerer's Apprentice 
105,1,1644,231.0,98.0,249.0,702.0,1483,87000.0,60655503.0,647,82380,92456,110,0.0,629.0,43,7,160000000.0,2006.0,2000.0,5.6,2.35,0,6,Poseidon 
106,1,618,218.0,113.0,33.0,11000.0,46,40000.0,76846624.0,687,21352,80806,155,1.0,131.0,43,6,170000000.0,2016.0,25000.0,6.4,1.85,30000,1,Alice Through the Looking Glass 
107,1,227,227.0,93.0,50.0,692.0,657,3000.0,320706665.0,730,211971,4705,2154,2.0,326.0,43,6,160000000.0,2007.0,795.0,6.1,1.85,0,3,Shrek the Third 
108,1,409,275.0,123.0,0.0,648.0,306,3000.0,46978995.0,364,111609,5505,2161,0.0,781.0,43,7,160000000.0,2016.0,716.0,7.3,2.35,89000,0,Warcraft 
109,1,24,474.0,126.0,230.0,2000.0,642,24000.0,89732035.0,555,188457,38873,1632,2.0,867.0,43,7,155000000.0,2015.0,10000.0,6.6,2.35,82000,0,Terminator Genisys 
110,1,1037,228.0,113.0,150.0,59.0,1882,531.0,104383624.0,180,106446,764,1446,4.0,227.0,43,6,155000000.0,2010.0,82.0,6.3,1.78,11000,1,The Chronicles of Narnia: The Voyage of the Dawn Treader 
111,0,1038,191.0,184.0,0.0,691.0,865,3000.0,198539855.0,616,254111,5401,1555,0.0,1999.0,43,7,140000000.0,2001.0,961.0,6.1,2.35,0,6,Pearl Harbor 
112,1,1038,396.0,144.0,0.0,581.0,1462,662.0,318759914.0,1422,513158,2333,1387,0.0,1782.0,43,7,150000000.0,2007.0,599.0,7.1,2.35,8000,0,Transformers 
113,1,1166,248.0,206.0,0.0,591.0,123,12000.0,34293771.0,89,138863,24598,298,3.0,1390.0,15,9,155000000.0,2004.0,11000.0,5.5,2.35,0,6,Alexander 
114,1,364,329.0,138.0,282.0,687.0,469,21000.0,292000866.0,1144,355137,33433,791,3.0,1108.0,42,7,150000000.0,2007.0,11000.0,7.5,2.35,0,1,Harry Potter and the Order of the Phoenix 
115,1,1104,295.0,157.0,179.0,10000.0,469,21000.0,289994397.0,1144,385670,53413,2156,1.0,1896.0,42,7,150000000.0,2005.0,11000.0,7.6,2.35,0,1,Harry Potter and the Goblet of Fire 
116,1,1216,318.0,102.0,532.0,979.0,348,10000.0,227946274.0,1399,343648,21584,695,0.0,590.0,43,7,150000000.0,2008.0,9000.0,6.4,2.35,0,6,Hancock 
117,1,463,323.0,104.0,508.0,558.0,80,10000.0,256386216.0,1399,530870,13076,2550,0.0,1413.0,43,7,150000000.0,2007.0,1000.0,7.2,2.35,11000,6,I Am Legend 
118,1,1536,276.0,115.0,13000.0,588.0,392,40000.0,206456431.0,687,320284,57844,582,3.0,1361.0,43,6,150000000.0,2005.0,16000.0,6.7,1.85,0,3,Charlie and the Chocolate Factory 
119,1,151,318.0,111.0,663.0,954.0,1023,1000.0,206435493.0,585,473887,4764,299,0.0,626.0,43,1,150000000.0,2007.0,1000.0,8.0,2.35,10000,3,Ratatouille 
120,1,251,478.0,128.0,22000.0,11000.0,1256,23000.0,205343774.0,251,980946,59558,1778,0.0,2685.0,43,7,150000000.0,2005.0,14000.0,8.3,2.35,15000,0,Batman Begins 
121,1,437,167.0,89.0,35.0,436.0,864,1000.0,179982968.0,128,146019,3285,381,0.0,119.0,43,6,150000000.0,2008.0,851.0,6.7,1.85,0,3,Madagascar: Escape 2 Africa 
122,1,1429,185.0,105.0,189.0,1000.0,1692,49000.0,177243721.0,1151,130272,54039,2315,2.0,209.0,43,6,150000000.0,2009.0,3000.0,5.9,2.35,2000,3,Night at the Museum: Battle of the Smithsonian 
123,1,505,350.0,119.0,151.0,2000.0,1818,20000.0,179883016.0,530,361924,40054,649,0.0,641.0,43,7,150000000.0,2009.0,16000.0,6.7,2.35,0,14,X-Men Origins: Wolverine 
124,1,910,245.0,129.0,0.0,233.0,422,309.0,139259759.0,436,364948,1062,1846,0.0,2121.0,3,9,150000000.0,2003.0,269.0,6.7,2.35,0,0,The Matrix Revolutions 
125,1,219,406.0,102.0,69.0,490.0,1412,1000.0,400736600.0,705,421658,2582,1504,0.0,904.0,43,6,150000000.0,2013.0,523.0,7.6,2.24,58000,3,Frozen 
126,1,910,275.0,138.0,0.0,30.0,466,234.0,281492479.0,1272,421818,534,940,0.0,2789.0,43,9,150000000.0,2003.0,198.0,7.2,2.35,0,0,The Matrix Reloaded 
127,1,24,486.0,112.0,230.0,12000.0,1525,26000.0,206360018.0,244,414070,59803,167,3.0,532.0,43,7,170000000.0,2013.0,20000.0,7.1,2.35,63000,0,Thor: The Dark World 
128,1,519,739.0,120.0,750.0,943.0,348,27000.0,153629485.0,1340,552503,40025,2584,0.0,1588.0,3,9,150000000.0,2015.0,9000.0,8.1,2.35,191000,14,Mad Max: Fury Road 
129,1,1368,298.0,146.0,2000.0,294.0,171,15000.0,133375846.0,1339,207839,16948,185,2.0,435.0,43,7,150000000.0,2009.0,745.0,6.7,2.35,0,14,Angels & Demons 
130,1,874,516.0,115.0,0.0,12000.0,1525,26000.0,181015141.0,244,536314,60059,167,1.0,738.0,43,7,150000000.0,2011.0,20000.0,7.0,2.35,63000,0,Thor 
131,1,187,225.0,96.0,59.0,699.0,560,17000.0,114053579.0,238,146766,20007,1048,0.0,178.0,43,6,150000000.0,2008.0,759.0,6.9,1.85,0,6,Bolt 
132,1,585,145.0,88.0,12.0,182.0,1672,730.0,119420252.0,755,33042,2217,1833,0.0,90.0,43,6,150000000.0,2009.0,607.0,5.1,2.35,0,3,G-Force 
133,1,812,310.0,99.0,473.0,502.0,613,14000.0,83640426.0,832,152826,16184,1492,0.0,253.0,43,7,150000000.0,2012.0,897.0,5.8,1.85,19000,0,Wrath of the Titans 
134,1,1536,526.0,113.0,13000.0,16000.0,363,40000.0,79711678.0,687,199039,80849,453,7.0,479.0,43,7,100000000.0,2012.0,17000.0,6.2,1.85,82000,3,Dark Shadows 
135,1,250,465.0,131.0,188.0,641.0,952,10000.0,195000874.0,1337,232187,21840,2225,0.0,440.0,8,7,150000000.0,2015.0,10000.0,7.4,2.35,47000,14,Mission: Impossible - Rogue Nation 
136,1,719,357.0,119.0,394.0,162.0,1907,12000.0,61937495.0,89,89442,13071,187,0.0,432.0,43,9,150000000.0,2010.0,490.0,5.8,1.85,0,6,The Wolfman 
138,1,1475,194.0,91.0,58.0,826.0,1591,2000.0,126597121.0,917,105902,6576,2071,0.0,206.0,43,6,150000000.0,2007.0,852.0,6.2,1.85,0,3,Bee Movie 
139,1,683,284.0,90.0,90.0,15.0,734,11000.0,165230261.0,76,182718,21015,1737,0.0,209.0,43,6,150000000.0,2011.0,10000.0,7.3,2.35,20000,3,Kung Fu Panda 2 
140,1,958,280.0,103.0,0.0,346.0,1564,1000.0,131564731.0,1227,118951,2857,5,0.0,1382.0,43,6,150000000.0,2010.0,756.0,4.2,2.35,18000,0,The Last Airbender 
141,1,607,310.0,124.0,14000.0,979.0,2045,22000.0,133382309.0,1091,256695,34817,695,0.0,871.0,43,7,150000000.0,2006.0,10000.0,6.9,2.35,0,14,Mission: Impossible III 
142,1,1363,339.0,131.0,776.0,256.0,870,17000.0,73103784.0,219,164238,18204,1621,2.0,434.0,43,7,150000000.0,2013.0,551.0,6.4,2.35,33000,6,White House Down 
